month,Unnamed: 0,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt,outward_inward_ratio
2019-01-01,19979,United Bank Of India,2500,45377,47877,0.41,275362.26,1254311.32,1529673.58,0.12,1336,97378,98714,0.84,435669.34,1612516.61,2048185.96,0.16,1.3389692982734263
2019-01-01,19980,Utkarsh Small Finance Bank Ltd,197,779,976,0.01,232897.19,136709.07,369606.26,0.03,83,925,1008,0.01,234219.52,123943.11,358162.63,0.03,0.9690383220240912
2019-01-01,19981,Vasai Janata Sahakari Bank Ltd.,0,134,134,0.0,55675.56,853.47,853.47,0.0,0,2,2,0.0,104583.235,8.0,8.0,0.0,0.009373498775586723
2019-01-01,19982,Vasai Vikas Sahakari Bank Ltd.,22,892,914,0.01,20505.75,16783.77,37289.52,0.0,0,1697,1697,0.01,104583.235,38381.36,38381.36,0.0,1.0292800765469763
2019-01-01,19984,Westpac Banking Corporation,126,41,167,0.0,12997.91,32351.14,45349.05,0.0,35,19,54,0.0,2507.14,36246.38,38753.52,0.0,0.8545607901378308
2019-01-01,19985,Woori Bank,179,762,941,0.01,261811.6,54787.2,316598.8,0.03,111,524,635,0.01,273101.84,97159.68,370261.52,0.03,1.1694975470532423
2019-01-01,19987,Zila Sahkari Bank Ltd Ghaziabad,0,181,181,0.0,55675.56,1803.84,1803.84,0.0,0,269,269,0.0,104583.235,3038.58,3038.58,0.0,1.684506386375732
2019-02-01,19988,A.P. Mahesh Co-Operative Urban Bank Ltd,207,5457,5664,0.05,11040.09,117619.22,128659.31,0.01,10,7166,7176,0.06,228.0,63533.9,63761.9,0.01,0.4955871440628743
2019-02-01,19989,Abhyudaya Co-Operative Bank Ltd,33,6119,6152,0.06,41639.56,549947.21,591586.77,0.05,12,9037,9049,0.08,43080.5,573863.57,616944.07,0.05,1.0428631965518769
2019-02-01,19990,Abu Dhabi Commercial Bank Pjsc,31,238,269,0.0,86076.72,56606.46,142683.18,0.01,148,812,960,0.01,155535.98,167437.93,322973.91,0.03,2.263573814376719
2019-02-01,19991,Aditya Birla Idea Payments Bank Limited,21,794,815,0.01,23006.03,11188.88,34194.92,0.0,34,4,38,0.0,29257.18,4320.0,33577.18,0.0,0.981934743523307
2019-02-01,19992,Ahmedabad Mercantile Co-Operative Bank Ltd.,18,3840,3858,0.03,242.83,32893.01,33135.84,0.0,2,4471,4473,0.04,1000.0,43296.42,44296.42,0.0,1.3368129493623824
2019-02-01,19993,Ahmednagar Merchant'S Co-Op. Bank Ltd. Ahmednagar,0,653,653,0.01,55675.56,30534.02,30534.02,0.0,0,3314,3314,0.03,104583.235,32018.91,32018.91,0.0,1.0486306748996692
2019-02-01,19994,Airtel Payments Bank Ltd.,16,2118,2134,0.02,16302.72,217145.82,233448.54,0.02,16,0,16,0.0,15001.94,97058.61499999999,15001.94,0.0,0.06426229952005696
2019-02-01,19995,Akola District Central Co-Operative Bank Ltd.,1,370,371,0.0,25.0,2528.49,2553.49,0.0,0,645,645,0.01,104583.235,10831.68,10831.68,0.0,4.241912049782846
2019-02-01,19997,Almora Urban Co-Operative Bank Ltd.,3,505,508,0.0,5.32,3662.47,3667.8,0.0,0,1748,1748,0.02,104583.235,10046.61,10046.61,0.0,2.739137902830034
2019-02-01,19998,Ambarnath Jai-Hind Co-Op. Bank Ltd.,2,150,152,0.0,12.06,1327.56,1339.62,0.0,25,416,441,0.0,434.87,2698.53,3133.4,0.0,2.339021513563548
2019-02-01,19999,Andhra Bank,3846,115233,119079,1.07,1006334.2,2677926.09,3684260.29,0.33,3772,137167,140939,1.27,1049649.69,3216337.72,4265987.41,0.38,1.1578952284068942
2019-02-01,20000,Andhra Pradesh Grameena Vikas Bank,32,1431,1463,0.01,32.96,15481.0,15513.96,0.0,0,4746,4746,0.04,104583.235,92810.92,92810.92,0.01,5.982413258768232
